# Model LOSO_F1 LOSO_err LORO_F1 LORO_err
Enhanced 0.830 0.001 0.830 0.001
CNN 0.842 0.025 0.796 0.097
BiLSTM 0.803 0.022 0.789 0.044
Conformer 0.403 0.386 0.841 0.040
