protocol,model,n,macro_f1_mean,macro_f1_std,brier_mean,brier_std
PSTA,bilstm,5,0.855502,0.126861,0.024144,0.020400
PSTA,cnn,5,0.984559,0.014340,0.002754,0.002469
PSTA,conformer_lite,5,0.992374,0.002471,0.001514,0.000602
PSTA,enhanced,5,0.989058,0.016051,0.002136,0.003166
