Component,Explained_Variance_Ratio,Cumulative_Variance
PC1,0.16583559285093358,0.16583559285093358
PC2,0.11713656406095625,0.2829721569118898
PC3,0.11304447721264581,0.39601663412453564
PC4,0.10624690201784844,0.5022635361423841
PC5,0.10087436254179612,0.6031378986841802
