Model,LOSO_F1,LOSO_Error,LORO_F1,LORO_Error,Color_Code
Enhanced,0.83,0.001,0.83,0.001,#2E86AB
CNN,0.842,0.025,0.796,0.097,#E84855
BiLSTM,0.803,0.022,0.789,0.044,#3CB371
Conformer-lite,0.403,0.386,0.841,0.04,#DC143C
