,mean,mean,std,std
Protocol,LORO,LOSO,LORO,LOSO
Model,,,,
BiLSTM,0.79094560329192,0.8024748164301284,0.04499779454036214,0.015197835843395461
CNN,0.7929545339409021,0.8413327406906103,0.10787249372981707,0.02052119236029715
Conformer-lite,0.842895453055913,0.36746232287187597,0.036125909999540615,0.36251439108227984
Enhanced,0.8297340248846059,0.8298287014385581,0.0009680387092176742,0.0009600284214390699
