Label_Percent,F1_Score,Error_Bar,Performance_Level
1.0,0.455,0.05,Progress
5.0,0.78,0.016,Good
10.0,0.73,0.104,Good
20.0,0.821,0.003,Target Achieved
100.0,0.833,0.0,Target Achieved
