,LOSO_F1,LORO_F1,Cross_Domain_Gap,Stability_Index,ECE,Efficiency_Ratio,Deployment_Readiness
BiLSTM,0.4555959527550423,-1.136951056220066,-0.6079256589005351,0.5462356317497504,0.5582711740557506,0.9663369776160906,-0.11277677488691969
CNN,0.6683892720058998,-0.8186047604784475,-0.43187478935467916,0.3133902835774005,-1.0327124913044072,0.4895154795794352,0.11277677488692031
Conformer-lite,-1.72689962930504,1.2279071407176663,1.7247483625820617,-1.701413289453248,1.3573302346850677,-1.6678236305472496,-1.4097096860865024
Enhanced,0.6029144045440973,0.7276486759808372,-0.6849479143268473,0.8417873741260946,-0.8828889174364104,0.21197117335172502,1.4097096860865026
