CV_Percent,Cross_Domain_Gap,LORO_F1,LORO_Std,LOSO_F1,LOSO_Std,Model
0.12,0.0,0.83,0.001,0.83,0.001,Enhanced
2.97,0.046,0.796,0.097,0.842,0.025,CNN
2.74,0.014,0.789,0.044,0.803,0.022,BiLSTM
95.79,0.438,0.841,0.04,0.403,0.386,Conformer-lite
