Component,Explained_Variance_Ratio,Cumulative_Variance
PC1,0.16583559285093363,0.16583559285093363
PC2,0.11713656406095625,0.28297215691188987
PC3,0.1130444772126458,0.3960166341245357
PC4,0.1062469020178484,0.5022635361423841
PC5,0.10087436254179619,0.6031378986841802
