Model,Method,F1_Score,Std_Error
Enhanced,LOSO,0.830,0.001
CNN,LOSO,0.842,0.025
BiLSTM,LOSO,0.803,0.022
Conformer,LOSO,0.403,0.386
Enhanced,LORO,0.830,0.001
CNN,LORO,0.796,0.097
BiLSTM,LORO,0.789,0.044
Conformer,LORO,0.841,0.040
