Method,1,5,10,20,100
Fine-tune,0.455,0.78,0.73,0.821,0.833
Linear Probe,0.18,0.195,0.205,0.218,0.225
Temperature Scaling,0.44,0.76,0.715,0.805,0.825
Zero-shot,0.151,0.151,0.151,0.151,0.151
