file,model,seed,difficulty,macro_f1,ece_cal,nll_cal,brier,class_overlap,env_burst_rate,gain_drift_std,sc_corr_rho,label_noise_prob
results_gpu/d2/paperA_bilstm_hard_s0_cla0p0_env0p0_lab0p0.json,bilstm,0,hard,1.0,0.0,2.2848437808420385e-08,4.593516085019868e-15,0.0,0.0,0.1,0.5,0.0
results_gpu/d2/paperA_bilstm_hard_s0_cla0p0_env0p0_lab0p05.json,bilstm,0,hard,1.0,5.960464477539063e-08,8.415617003265652e-08,2.086788597095754e-12,0.0,0.0,0.1,0.5,0.05
results_gpu/d2/paperA_bilstm_hard_s0_cla0p0_env0p0_lab0p1.json,bilstm,0,hard,1.0,0.0,2.145766409000771e-08,2.637851757135927e-15,0.0,0.0,0.1,0.5,0.1
results_gpu/d2/paperA_bilstm_hard_s0_cla0p0_env0p1_lab0p0.json,bilstm,0,hard,0.9996587732969855,0.0001809143821398417,0.00026103146956302226,2.455584774174403e-05,0.0,0.1,0.1,0.5,0.0
results_gpu/d2/paperA_bilstm_hard_s0_cla0p0_env0p1_lab0p05.json,bilstm,0,hard,0.9996740458936582,0.0006056865255037944,0.0011985638411715627,8.061897294563791e-05,0.0,0.1,0.1,0.5,0.05
results_gpu/d2/paperA_bilstm_hard_s0_cla0p0_env0p1_lab0p1.json,bilstm,0,hard,0.9996446791715372,0.0003326535224914551,0.0021008476614952087,8.302697904409618e-05,0.0,0.1,0.1,0.5,0.1
results_gpu/d2/paperA_bilstm_hard_s0_cla0p0_env0p2_lab0p0.json,bilstm,0,hard,0.9996665050259602,0.0003995771010716756,0.0027198782190680504,8.661382716829804e-05,0.0,0.2,0.1,0.5,0.0
results_gpu/d2/paperA_bilstm_hard_s0_cla0p0_env0p2_lab0p05.json,bilstm,0,hard,0.9996663438213629,0.0003305673599243164,0.007785141002386808,8.333774974198012e-05,0.0,0.2,0.1,0.5,0.05
results_gpu/d2/paperA_bilstm_hard_s0_cla0p0_env0p2_lab0p1.json,bilstm,0,hard,0.9996733577294279,0.0003331303596496582,0.007721264380961657,8.333336308317657e-05,0.0,0.2,0.1,0.5,0.1
results_gpu/d2/paperA_bilstm_hard_s0_cla0p4_env0p0_lab0p0.json,bilstm,0,hard,0.9247861658862754,0.008298082907994588,0.20701611042022705,0.014481005073894685,0.4,0.0,0.1,0.5,0.0
results_gpu/d2/paperA_bilstm_hard_s0_cla0p4_env0p0_lab0p05.json,bilstm,0,hard,0.9261556397013122,0.009058992822964988,0.20516259968280792,0.014324223478752757,0.4,0.0,0.1,0.5,0.05
results_gpu/d2/paperA_bilstm_hard_s0_cla0p4_env0p0_lab0p1.json,bilstm,0,hard,0.930097423528615,0.013518405576546984,0.19703194499015808,0.013594801983548,0.4,0.0,0.1,0.5,0.1
results_gpu/d2/paperA_bilstm_hard_s0_cla0p4_env0p1_lab0p0.json,bilstm,0,hard,0.9259901553902122,0.008302542984485626,0.21799030900001526,0.014977169930559477,0.4,0.1,0.1,0.5,0.0
results_gpu/d2/paperA_bilstm_hard_s0_cla0p4_env0p1_lab0p05.json,bilstm,0,hard,0.9261789271804256,0.008068385620911916,0.20734895765781403,0.014331286257550618,0.4,0.1,0.1,0.5,0.05
results_gpu/d2/paperA_bilstm_hard_s0_cla0p4_env0p1_lab0p1.json,bilstm,0,hard,0.9200245662377042,0.014365235110123952,0.22488735616207123,0.015501547223510045,0.4,0.1,0.1,0.5,0.1
results_gpu/d2/paperA_bilstm_hard_s0_cla0p4_env0p2_lab0p0.json,bilstm,0,hard,0.9325177204395193,0.006610051890214284,0.1963224560022354,0.013164882834258672,0.4,0.2,0.1,0.5,0.0
results_gpu/d2/paperA_bilstm_hard_s0_cla0p4_env0p2_lab0p05.json,bilstm,0,hard,0.9341197566241157,0.015728610932826997,0.19021004438400269,0.012904474674748822,0.4,0.2,0.1,0.5,0.05
results_gpu/d2/paperA_bilstm_hard_s0_cla0p4_env0p2_lab0p1.json,bilstm,0,hard,0.937399111262303,0.00902924104531606,0.1799173206090927,0.012099424333030559,0.4,0.2,0.1,0.5,0.1
results_gpu/d2/paperA_bilstm_hard_s0_cla0p8_env0p0_lab0p0.json,bilstm,0,hard,0.7089834429711329,0.018360753456751505,0.6626458168029785,0.04817338122872003,0.8,0.0,0.1,0.5,0.0
results_gpu/d2/paperA_bilstm_hard_s0_cla0p8_env0p0_lab0p05.json,bilstm,0,hard,0.7252906436201827,0.01791975273688634,0.656126856803894,0.04735759474995071,0.8,0.0,0.1,0.5,0.05
results_gpu/d2/paperA_bilstm_hard_s0_cla0p8_env0p0_lab0p1.json,bilstm,0,hard,0.707328163653518,0.01979023716847102,0.6595200300216675,0.04862107888367539,0.8,0.0,0.1,0.5,0.1
results_gpu/d2/paperA_bilstm_hard_s0_cla0p8_env0p1_lab0p0.json,bilstm,0,hard,0.9043106161468417,0.011166713585456213,0.2534559667110443,0.017655527123298594,0.8,0.1,0.1,0.5,0.0
results_gpu/d2/paperA_bilstm_hard_s0_cla0p8_env0p1_lab0p05.json,bilstm,0,hard,0.9053674050683274,0.014690895706415175,0.24519291520118713,0.017458721905228552,0.8,0.1,0.1,0.5,0.05
results_gpu/d2/paperA_bilstm_hard_s0_cla0p8_env0p1_lab0p1.json,bilstm,0,hard,0.7120889108099683,0.019325540274381638,0.6417320370674133,0.047394248577268254,0.8,0.1,0.1,0.5,0.1
