file,model,seed,label_ratio,transfer_method,zero_shot_f1,target_f1,target_ece,improvement
results/d4/sim2real/enhanced_s3_bs8_lr1e-3_me50_ft_0.1.json,enhanced,3,0.1,fine_tune,0.12710983412764776,0.8025326866892492,0.00930346240221111,0.6754228525616014
results/d4/sim2real/enhanced_s1_bs8_lr1e-3_me50_ft_0.1.json,enhanced,1,0.1,fine_tune,0.1521576618638071,0.8010118761915218,0.017360728991738784,0.6488542143277147
results/d4/sim2real/enhanced_s4_bs16_lr1e-2_me50_lp_0.05.json,enhanced,4,0.05,linear_probe,0.1604225871534846,0.2580651520887276,0.17974248210808524,0.09764256493524301
results/d4/sim2real/enhanced_s3_bs8_lr1e-3_me50_ft_0.05.json,enhanced,3,0.05,fine_tune,0.1255000332780741,0.771871214744333,0.04720190167925768,0.6463711814662588
results/d4/sim2real/enhanced_s0_bs8_lr1e-3_me50_ft_0.05.json,enhanced,0,0.05,fine_tune,0.15320786639811534,0.7657288079885591,0.04108771825909938,0.6125209415904438
results/d4/sim2real/enhanced_seed0_bs16_lr1e-2_me50_lp_0p01.json,enhanced,0,0.01,linear_probe,0.15399177403190614,0.20550584217622625,0.3581654983215151,0.05151406814432011
results/d4/sim2real/enhanced_s4_bs8_lr1e-3_me50_ft_0.01.json,enhanced,4,0.01,fine_tune,0.15998432993242423,0.4978596808316552,0.2926068069934462,0.337875350899231
results/d4/sim2real/enhanced_s0_center_bs8_lr1e-3_me50_ft_0p01.json,enhanced,0,0.01,fine_tune,0.002583876609953888,0.4290967429280169,0.3274517028403749,0.426512866318063
results/d4/sim2real/enhanced_s4_bs8_lr1e-3_me50_ft_0.1.json,enhanced,4,0.1,fine_tune,0.15993698993287844,0.7753456278451827,0.0409690042073696,0.6154086379123043
results/d4/sim2real/enhanced_s4_bs8_lr1e-3_me50_ft_0.2.json,enhanced,4,0.2,fine_tune,0.15968208091347438,0.820665230535655,0.016103505768438584,0.6609831496221806
results/d4/sim2real/enhanced_s1_bs8_lr1e-3_me50_ft_0.2.json,enhanced,1,0.2,fine_tune,0.15106949227156224,0.8240579119596306,0.008045057453724429,0.6729884196880684
